127.0.0.1, 2013-05-20 13:19:23, GET, /, HTTP/1.1, 303, 0.001134
127.0.0.1, 2013-05-20 13:19:23, GET, /welcome/default/index, HTTP/1.1, 500, 0.557447
127.0.0.1, 2013-05-20 13:19:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2013-05-20 13:19:26, GET, /admin/default/ticket/welcome/127.0.0.1.2013-05-20.13-19-23.9ff11d4b-9627-483e-8a1f-f2a185e47be0, HTTP/1.1, 303, 0.135107
127.0.0.1, 2013-05-20 13:19:26, GET, /admin/default/index, HTTP/1.1, 500, 0.112922
127.0.0.1, 2013-05-20 13:19:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2013-05-20 13:19:34, GET, /admin/default/ticket/welcome/127.0.0.1.2013-05-20.13-19-23.9ff11d4b-9627-483e-8a1f-f2a185e47be0, HTTP/1.1, 303, 0.013713
127.0.0.1, 2013-05-20 13:19:34, GET, /admin/default/index, HTTP/1.1, 500, 0.140653
127.0.0.1, 2013-05-20 13:19:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2013-05-20 13:19:35, GET, /admin/default/ticket/admin/127.0.0.1.2013-05-20.13-19-34.5a52b836-241f-430d-8c26-7a961ba9a36f, HTTP/1.1, 303, 0.007203
127.0.0.1, 2013-05-20 13:19:35, GET, /admin/default/index, HTTP/1.1, 500, 0.141301
127.0.0.1, 2013-05-20 13:19:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000406
127.0.0.1, 2013-05-20 14:47:02, GET, /, HTTP/1.1, 303, 0.000972
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.938550
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000663
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000482
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000457
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2013-05-20 14:47:03, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000436
127.0.0.1, 2013-05-20 14:47:04, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2013-05-20 14:47:04, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2013-05-20 14:47:04, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2013-05-20 14:47:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000445
127.0.0.1, 2013-05-20 14:57:03, GET, /welcome/default/index/examples, HTTP/1.1, 200, 0.035438
127.0.0.1, 2013-05-20 14:57:18, GET, /welcome/default/index/examples/controller, HTTP/1.1, 200, 0.033351
127.0.0.1, 2013-05-20 14:57:21, GET, /welcome/default/index/examples/controllers, HTTP/1.1, 200, 0.033713
127.0.0.1, 2013-05-20 14:57:27, GET, /welcome/default/index/examples/controllers, HTTP/1.1, 200, 0.038758
127.0.0.1, 2013-05-20 14:57:32, GET, /welcome/default/index/examples/, HTTP/1.1, 200, 0.032939
127.0.0.1, 2013-05-20 14:57:57, GET, /examples/default/index, HTTP/1.1, 200, 0.019938
127.0.0.1, 2013-05-20 14:57:57, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000510
127.0.0.1, 2013-05-20 14:57:57, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2013-05-20 14:57:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000430
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000452
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000521
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000504
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000440
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000447
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000480
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000494
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000424
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000513
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000647
127.0.0.1, 2013-05-20 14:57:58, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000423
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/default/download, HTTP/1.1, 200, 0.028003
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/css/artwork.css, HTTP/1.1, 404, 0.000418
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.000720
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.000480
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.000706
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.000649
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.001016
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.000649
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.000485
127.0.0.1, 2013-05-20 14:59:17, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2013-05-20 14:59:33, GET, /examples/default/index, HTTP/1.1, 200, 0.016620
127.0.0.1, 2013-05-20 15:03:05, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.242907
127.0.0.1, 2013-05-20 15:03:05, GET, /admin/default/index, HTTP/1.1, 200, 0.040462
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000470
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000473
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000438
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000445
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000471
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2013-05-20 15:03:06, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2013-05-20 15:03:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2013-05-20 15:03:12, POST, /admin/default/index, HTTP/1.1, 303, 0.090275
